frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
1,2025-08-23T07:51:26.618723,0,Zone 1-1,6.409762820727389e-05,0,normal
1,2025-08-23T07:51:26.618723,1,Zone 1-2,3.613497484737719e-05,0,normal
1,2025-08-23T07:51:26.618723,2,Zone 1-3,6.319202587638102e-05,0,normal
1,2025-08-23T07:51:26.618723,3,Zone 2-1,1.6532346448847946e-05,0,normal
1,2025-08-23T07:51:26.618723,4,Zone 2-2,6.104598582630427e-05,0,normal
1,2025-08-23T07:51:26.618723,5,Zone 2-3,8.600101294651837e-05,0,normal
1,2025-08-23T07:51:26.618723,6,Zone 3-1,3.1713678331022533e-06,0,normal
1,2025-08-23T07:51:26.618723,7,Zone 3-2,1.694776878600389e-05,0,normal
1,2025-08-23T07:51:26.618723,8,Zone 3-3,3.1995731340327734e-06,0,normal
2,2025-08-23T07:51:26.894917,0,Zone 1-1,8.716132019607114e-05,0,normal
2,2025-08-23T07:51:26.894917,1,Zone 1-2,4.431742807509194e-05,0,normal
2,2025-08-23T07:51:26.894917,2,Zone 1-3,6.910695786207495e-05,0,normal
2,2025-08-23T07:51:26.894917,3,Zone 2-1,2.2946285005186643e-05,0,normal
2,2025-08-23T07:51:26.894917,4,Zone 2-2,7.821895496945986e-05,0,normal
2,2025-08-23T07:51:26.894917,5,Zone 2-3,8.464431468869598e-05,0,normal
2,2025-08-23T07:51:26.894917,6,Zone 3-1,2.9299047473870535e-06,0,normal
2,2025-08-23T07:51:26.894917,7,Zone 3-2,2.4046077274940383e-05,0,normal
2,2025-08-23T07:51:26.894917,8,Zone 3-3,4.0328320325680185e-06,0,normal
3,2025-08-23T07:51:27.212782,0,Zone 1-1,8.554015256149668e-05,0,normal
3,2025-08-23T07:51:27.212782,1,Zone 1-2,4.6991787745919023e-05,0,normal
3,2025-08-23T07:51:27.212782,2,Zone 1-3,7.781898471671092e-05,0,normal
3,2025-08-23T07:51:27.212782,3,Zone 2-1,2.0921104390856245e-05,0,normal
3,2025-08-23T07:51:27.212782,4,Zone 2-2,6.935403905284237e-05,0,normal
3,2025-08-23T07:51:27.212782,5,Zone 2-3,0.00010015242536303023,1,normal
3,2025-08-23T07:51:27.212782,6,Zone 3-1,1.1922598121241785e-06,0,normal
3,2025-08-23T07:51:27.212782,7,Zone 3-2,2.401568205423758e-05,0,normal
3,2025-08-23T07:51:27.212782,8,Zone 3-3,4.088236543704087e-06,0,normal
4,2025-08-23T07:51:27.491537,0,Zone 1-1,7.901494981537403e-05,0,normal
4,2025-08-23T07:51:27.491537,1,Zone 1-2,5.1146000623703e-05,0,normal
4,2025-08-23T07:51:27.491537,2,Zone 1-3,7.497061726073144e-05,0,normal
4,2025-08-23T07:51:27.491537,3,Zone 2-1,1.9364649246276264e-05,0,normal
4,2025-08-23T07:51:27.491537,4,Zone 2-2,8.800863485101243e-05,0,normal
4,2025-08-23T07:51:27.491537,5,Zone 2-3,0.00010241912284367521,1,normal
4,2025-08-23T07:51:27.491537,6,Zone 3-1,1.752824509437655e-06,0,normal
